CustomerId,FirstName,LastName,Country,City,DOB
59,Rhonda,Mooney,France,Paris,11/18/1993
60,Glenna,Bishop,Belgium,Brussels,11/3/1956
61,Scotty,Harrison,Portugal,Lisbon,9/9/1994
62,Everett,Bender,Portugal,Lisbon,7/16/1949
63,Jerald,Black,Portugal,Lisbon,2/23/1942
64,Rena,Graves,Portugal,Lisbon,3/5/1983
65,Rebekah,McGowan,Portugal,Lisbon,4/22/1978
66,Karl,Dean,England,London,7/22/1957
67,Lorna,Knight,England,London,3/21/2000
68,Lacy,Guy,Belgium,Brussels,10/3/1955
69,Madelyn,Carrillo,France,Paris,5/16/1971
70,Porter,Pace,Portugal,Porto,1/17/1984
71,Shelby,Ferrell,Portugal,Lisbon,11/2/1957
72,Marta,Parsons,Belgium,Brussels,2/25/1991
73,Quentin,Lara,Belgium,Brussels,8/14/1948
74,Kasey,Owen,Belgium,Brussels,10/25/1942
75,Maxwell,Walter,Belgium,Brussels,5/26/1994
76,Terrie,Cruz,Portugal,Lisbon,3/12/1951
77,Dolly,Boyer,Belgium,Antwerp,9/17/1969
78,Chet,Knowles,Ireland,Tralee,4/27/1968
79,Caleb,Mullins,Belgium,Brussels,4/16/1943
80,Krystal,Daniel,England,London,5/17/1987
81,Deana,Blevins,England,Liverpool,6/15/1978
82,Pauline,Wilder,England,Manchester,9/3/1951
83,Victor,Payne,Portugal,Lisbon,6/5/1999
84,Hazel,Harper,Portugal,Porto,8/25/1970
85,Jeannine,Cannon,Belgium,Brussels,9/22/1951
86,Shauna,Talley,England,Manchester,3/23/1974
87,Bethany,Cherry,England,London,10/6/1976
88,Angelo,Puckett,Belgium,Brussels,5/23/1981
89,Dominick,Malone,France,Paris,9/8/1973
90,Myrna,Love,England,Liverpool,1/1/1986
91,Filiberto,Tyler,Belgium,Brussels,8/25/1976
92,Cortez,Thompson,England,Manchester,1/11/1986
93,Kristy,Chase,Portugal,Lisbon,6/19/1967
94,Francis,Hurley,Portugal,Porto,3/13/1986
95,Saul,Lynn,England,Liverpool,9/18/1988
96,Ray,Dillon,England,Liverpool,7/9/1976
97,Jamar,Quinn,Portugal,Lisbon,11/22/1989
98,Tisha,Cobb,Ireland,Tralee,5/16/1967
99,Marisa,Knapp,Portugal,Lisbon,5/13/1993
100,Leslie,McClain,Portugal,Porto,10/16/1987
101,Bernadine,Harper,England,London,11/21/1950
102,Spencer,Waters,England,Liverpool,6/23/1967
103,Jayson,Boone,England,Liverpool,5/9/1991
104,Rosalie,Conrad,England,London,7/3/1996
105,Beulah,McClure,Portugal,Lisbon,7/23/1984
106,Kerry,Stout,Ireland,Limerick,11/22/1944
107,Carla,Thornton,Belgium,Brussels,11/24/2002
108,Daron,McLaughlin,Ireland,Limerick,4/9/1948
109,Major,Nixon,Portugal,Lisbon,9/13/1954
110,Hai,Matthews,Portugal,Lisbon,8/17/1988
111,Nolan,Boone,Ireland,Tralee,4/18/2000
112,Ian,Peterson,Belgium,Brussels,6/13/1949
113,Dominick,Clay,Ireland,Tralee,9/12/1972
114,Candy,Dickerson,England,Liverpool,8/20/1958
115,Elvira,Jarvis,England,London,3/1/1979
116,Benton,Bryan,Portugal,Porto,1/22/1991
117,Ed,Ray,England,London,10/25/2000
118,Colton,Frost,England,Liverpool,2/6/1981
119,Darla,Nieves,Portugal,Lisbon,2/24/1956
120,Dallas,Potts,England,Liverpool,9/25/2001
121,Dawn,Mann,England,Manchester,6/13/1967
122,Donnie,Merritt,Belgium,Brussels,9/22/1978
123,Joni,Hughes,Portugal,Porto,11/4/1986
124,Bart,Monroe,Ireland,Limerick,8/9/1977
125,Francisca,Moore,Portugal,Porto,9/1/1980
126,Osvaldo,Sanchez,Portugal,Porto,7/25/1947
127,Sabrina,Oliver,Portugal,Lisbon,10/7/1961
128,Santos,Johns,Portugal,Lisbon,3/7/1943
129,Mel,Maldonado,Belgium,Brussels,8/15/1986
130,Pablo,Alston,Portugal,Lisbon,1/5/1951
131,Virgil,Marshall,England,London,3/27/1991
132,Tony,Harding,Belgium,Brussels,1/9/1960
133,Alyssa,Frederick,Belgium,Antwerp,6/13/1990
134,Stacy,Rice,Portugal,Lisbon,7/19/1991
135,Sophia,Barber,England,London,1/25/1978
136,Clara,Curtis,Belgium,Brussels,10/7/1966
137,Maxine,Walters,Belgium,Antwerp,8/17/1990
138,Ed,Stephens,England,Liverpool,3/26/1944
139,Aimee,Lancaster,Belgium,Brussels,2/9/1966
140,Ronda,Ayers,Belgium,Brussels,8/27/1977
141,Burl,McCarthy,Belgium,Antwerp,6/6/1951
142,Sophia,Hendrix,France,Paris,4/16/1999
143,Dewey,Wynn,England,London,5/5/1994
144,Earl,Wynn,England,Manchester,10/13/2000
145,Emanuel,Michael,Portugal,Lisbon,9/2/1943
146,Manuela,Poole,France,Paris,1/20/1950
147,Jefferson,Murphy,Portugal,Lisbon,7/1/1983
148,Mara,Donovan,England,Birmingham,8/11/2002
149,Shelby,Paul,Portugal,Porto,10/18/1958
150,Teresa,Gutierrez,Ireland,Tralee,1/23/1955
151,Roosevelt,Frazier,Portugal,Lisbon,3/12/1957
152,Kurt,Collier,Ireland,Tralee,4/5/1994
153,Antone,Douglas,Ireland,Limerick,3/27/1962
154,Rosa,Meyer,Portugal,Porto,1/24/1984
155,Carmine,Payne,Belgium,Brussels,3/20/1953
156,Ola,Moody,Belgium,Brussels,10/11/1977
157,Addie,Houston,Belgium,Brussels,9/6/2000
158,Dino,Wiggins,Portugal,Braga,2/25/1951
159,Rita,Harris,Ireland,Tralee,6/13/1943
160,Abe,Glass,Portugal,Porto,7/17/1961
161,Catherine,Bradford,England,London,7/20/1980
162,Dalton,Nelson,Portugal,Braga,11/8/1987
163,Terrence,Estes,Portugal,Porto,1/16/1943
164,Ken,Burns,England,Liverpool,6/23/1988
165,Archie,Schmidt,England,Birmingham,9/7/1979
166,Dorothy,Cherry,Belgium,Brussels,8/23/1948
167,Jonas,Hays,England,London,1/16/1961
168,Tad,Watts,Portugal,Lisbon,7/6/1949
169,Katy,Tucker,Portugal,Lisbon,3/1/1991
170,Rena,Chan,Portugal,Porto,7/15/1997
171,Gertrude,Logan,England,London,4/26/1954
172,Carolina,Wiley,Portugal,Lisbon,11/19/1998
173,Everett,Morton,Portugal,Lisbon,9/6/1943
174,Ollie,Colon,England,London,1/23/1972
175,Jacquelyn,Brady,England,London,8/22/1972
176,Olga,Webster,Belgium,Brussels,10/5/1954
177,Virgie,Forbes,Portugal,Lisbon,7/17/1949
178,Hollie,Conway,England,Manchester,4/17/1989
179,Winnie,Sherman,Belgium,Brussels,1/27/1978
180,Nancy,Bullock,England,Liverpool,9/23/1944
181,Teresa,Gaines,Ireland,Limerick,2/6/1993
182,Colette,Wood,Ireland,Tralee,1/13/1970
183,Traci,Callahan,England,Birmingham,8/15/1969
184,Gwen,Whitehead,Belgium,Antwerp,10/23/2002
185,Corinne,Barrett,England,London,6/7/1989
186,Lewis,Manning,Belgium,Brussels,2/20/1945
187,Olga,Alston,England,Liverpool,9/23/1996
188,Benjamin,Roy,Portugal,Porto,2/5/1961
189,Sylvia,Shepard,Belgium,Brussels,10/2/1998
190,Hiram,Fowler,Portugal,Lisbon,9/11/1984
191,Nigel,Bender,Belgium,Antwerp,5/14/1981
192,Dana,Prince,England,Liverpool,6/23/1977
193,Bud,Hickman,Ireland,Limerick,8/21/1966
194,Heath,Rosa,England,London,6/16/1977
195,Martha,McIntosh,Belgium,Brussels,2/9/1964
196,Sergio,Charles,Portugal,Lisbon,7/22/1965
197,Bonnie,Rocha,Ireland,Tralee,1/5/1984
198,Hank,Ross,Portugal,Porto,5/13/1966
199,Alexandra,Stein,England,London,10/17/1989
200,Burt,Huber,England,Birmingham,5/14/1961
201,Efrain,Espinoza,Ireland,Limerick,3/9/1948
202,Romeo,Kaufman,England,London,9/6/1964
203,Edmund,Craft,England,Liverpool,2/6/1998
204,Leslie,Holder,Portugal,Porto,3/27/1969
205,Ernestine,Hampton,Portugal,Porto,7/17/1985
206,Danny,Waters,Portugal,Lisbon,7/21/1953
207,Jarred,Rollins,Portugal,Lisbon,8/8/1971
208,Long,Harvey,Portugal,Porto,10/4/1994
209,Tricia,Holloway,Portugal,Lisbon,10/9/1963
210,Rachelle,Hicks,Belgium,Antwerp,9/8/1976
211,Ward,Jacobson,France,Paris,11/26/1989
212,Rodolfo,Dotson,Portugal,Porto,4/16/1977
213,Dillon,Sexton,England,Liverpool,2/20/1987
214,Mavis,Marshall,Portugal,Porto,5/5/1957
215,Dionne,Nash,Portugal,Porto,11/20/1959
216,Wanda,McLeod,Portugal,Lisbon,3/19/1991
217,Lane,Stokes,Belgium,Brussels,7/7/1997
218,Adolfo,Calderon,Portugal,Lisbon,8/21/2000
219,Eliza,Burch,Portugal,Lisbon,1/23/1961
220,Vicente,Ashley,England,London,7/27/1993
221,Renaldo,Pitts,Ireland,Limerick,4/15/1962
222,Otis,Carver,Portugal,Porto,2/6/1962
223,Jan,Strickland,Ireland,Tralee,7/3/1965
224,Jo,Clements,England,Birmingham,2/16/1953
225,Lynda,Shannon,Portugal,Lisbon,10/20/1955
226,Jacklyn,Valdez,Portugal,Lisbon,4/25/1996
227,Dante,Lancaster,England,Liverpool,11/13/1989
228,Jimmie,Hunter,Portugal,Lisbon,4/14/1944
229,Dawn,Hunt,Portugal,Lisbon,9/23/1959
230,Sammie,Knox,England,London,11/10/1962
231,Nichole,Hines,England,Liverpool,8/15/1960
232,Willie,Pate,Belgium,Antwerp,8/13/1955
233,Wiley,Hampton,Portugal,Porto,9/21/1947
234,Mabel,Baldwin,England,Birmingham,2/19/1989
235,Augusta,Patel,England,Liverpool,3/4/1997
236,Nikki,Pate,Portugal,Braga,8/25/1968
237,Gilbert,Mitchell,Portugal,Lisbon,2/5/1962
238,Vera,Tran,England,Liverpool,8/4/1989
239,Ismael,Riggs,Belgium,Brussels,6/21/1961
240,Eunice,Newton,Ireland,Tralee,10/1/1942
241,Toby,Brown,Belgium,Brussels,2/17/1974
242,Julia,Allen,Portugal,Lisbon,2/12/1967
243,Sasha,Tyson,Portugal,Porto,3/7/1964
244,Cindy,Rocha,Portugal,Lisbon,10/14/1948
245,Elisa,Poole,Ireland,Tralee,5/12/1977
246,Elvia,Riggs,England,London,2/5/1997
247,Brock,Fernandez,Ireland,Tralee,2/24/1987
248,James,Rivera,Portugal,Lisbon,8/21/1977
249,Eugenio,Richards,Belgium,Brussels,4/15/1961
250,Guillermo,Carrillo,England,Liverpool,10/19/1986
251,Norbert,Rice,France,Paris,10/22/1949
252,Ladonna,Gonzales,England,London,4/10/1995
253,Von,Richardson,Ireland,Limerick,9/16/1944
254,Alexis,Brock,England,London,6/3/1983
255,Arlene,Hahn,England,London,8/5/1999
256,Marlin,Mendez,Portugal,Porto,2/24/1983
257,Eula,Howard,Portugal,Lisbon,10/1/1983
258,Cleo,Wiggins,Ireland,Limerick,5/23/1999
259,Sherri,Garner,Portugal,Porto,1/7/1989
260,Jeffery,Whitley,France,Paris,1/24/1963
261,Heather,Adams,England,Manchester,4/23/2000
262,Elise,Larson,England,Liverpool,3/17/1999
263,Augusta,Gentry,Portugal,Lisbon,10/20/1966
264,Yvette,Duke,Belgium,Brussels,6/3/1953
265,Lottie,Barlow,Ireland,Limerick,11/17/1983
266,Amado,Fulton,England,Liverpool,4/13/1957
267,Esperanza,Sanford,Belgium,Brussels,7/19/1996
268,Graham,Klein,Belgium,Antwerp,6/17/1962
269,Winnie,Short,Portugal,Lisbon,3/4/1965
270,Billy,Barr,Ireland,Tralee,5/9/2000
271,Odell,Downs,Portugal,Lisbon,9/12/1960
272,Dale,Beasley,England,Liverpool,11/19/2002
273,Jo,Beach,Belgium,Brussels,6/14/1983
274,Leanna,Chan,England,Liverpool,9/5/1956
275,Houston,Alexander,Belgium,Antwerp,6/14/1972
276,Darell,Perkins,England,London,9/22/1998
277,Larry,Molina,England,Liverpool,11/21/1991
278,Kaitlin,Camacho,France,Paris,4/10/1969
279,Michal,Gallagher,Portugal,Lisbon,3/9/1999
280,Ezequiel,Foreman,England,Birmingham,2/14/1964
281,Helene,Stewart,England,Birmingham,7/13/1960
282,Jordon,Lambert,England,Manchester,1/1/1985
283,Elsa,Parsons,England,London,2/8/1947
284,Janelle,Baird,England,Liverpool,1/13/1956
285,Kyle,Jarvis,Portugal,Lisbon,6/6/1950
286,Denny,McMillan,Ireland,Tralee,11/8/1996
287,Robert,Gordon,Portugal,Porto,1/25/1988
288,Beverly,Weiss,Belgium,Brussels,2/21/1979
289,Yvonne,Page,England,London,2/4/1972
290,Greta,Herrera,Portugal,Porto,8/20/1982
291,Jake,Holmes,England,London,7/27/1992
292,Corrine,Underwood,England,Liverpool,11/16/1955
293,Marty,Adams,England,London,11/10/2002
294,Prince,Jensen,England,London,7/21/1988
295,Teodoro,Rodriguez,England,Liverpool,1/6/1960
296,Francis,Clemons,France,Paris,5/9/1996
297,Fritz,Dawson,England,London,9/19/1988
298,Claudette,Velez,Ireland,Limerick,11/24/1989
299,Mohammed,Kelly,Ireland,Tralee,7/1/1994
300,Josephine,Figueroa,England,Liverpool,2/21/1959
301,Carly,McKay,Portugal,Braga,6/6/1957
302,Sung,Lindsey,Portugal,Porto,7/16/1968
303,Jimmie,Rosales,Ireland,Limerick,7/12/2000
304,Eleanor,Dickson,England,London,1/22/1963
305,Stephanie,Chan,Portugal,Porto,3/6/1989
306,Kelly,Lawrence,England,Liverpool,4/27/1994
307,Traci,Watson,Portugal,Lisbon,7/5/1967
308,Lowell,Barnes,Belgium,Brussels,1/11/1993
309,Percy,Mclean,England,Liverpool,11/1/1973
310,Leif,Ball,Portugal,Lisbon,9/8/1970
311,Garret,Gardner,Portugal,Porto,8/22/1976
312,Marguerite,Trevino,Portugal,Braga,1/10/1999
313,Winston,Keith,England,Liverpool,4/3/1999
314,Amado,Kennedy,Portugal,Lisbon,6/3/1980
315,Lenard,Talley,Ireland,Tralee,4/10/1942
316,Joel,Allen,Portugal,Lisbon,3/3/1983
317,Noah,Griffin,England,Birmingham,11/14/1994
318,Melisa,Dickerson,Belgium,Brussels,2/19/1975
319,Danial,Barnett,Ireland,Tralee,1/15/1990
320,Jill,Griffith,England,London,11/25/1996
321,Timothy,Brock,England,London,2/5/1991
322,Diana,Hill,Portugal,Lisbon,10/5/2000
323,Anna,Carney,England,London,10/26/1999
324,Merlin,Wiggins,Ireland,Tralee,4/26/1946
325,Jefferey,Coffey,Portugal,Lisbon,10/16/1969
326,Merlin,Horn,England,London,5/9/1981
327,Oswaldo,Haynes,France,Paris,11/22/1979
328,Angelia,Duke,France,Paris,8/5/1999
329,Pablo,Odonnell,England,Birmingham,7/3/1974
330,Ellsworth,Curry,Belgium,Brussels,8/18/1955
331,Rosanna,Hodges,Belgium,Antwerp,3/20/1988
332,Keisha,Roy,Belgium,Brussels,2/23/1964
333,Florine,Wise,Portugal,Lisbon,3/5/1987
334,Diann,Leon,Portugal,Lisbon,4/19/1989
335,Rosalie,Lewis,England,London,11/22/1961
336,Wendy,Gill,Portugal,Lisbon,5/18/1948
337,Cheryl,McLaughlin,Portugal,Braga,4/25/1983
338,Kristina,Cross,England,Manchester,6/20/1988
339,Cassie,Best,Belgium,Brussels,11/1/1975
340,Rachel,Butler,Portugal,Porto,8/2/1965
341,Rocky,Huffman,Portugal,Porto,9/12/1983
342,Benny,Wolf,Portugal,Porto,7/15/1987
343,Willa,Kerr,Belgium,Antwerp,4/20/1988
344,Dee,Marks,England,London,5/7/1973
345,Celeste,House,England,London,5/24/1979
346,Tomas,Coleman,Ireland,Tralee,3/18/1978
347,Timmy,McCarthy,England,Liverpool,7/11/1971
348,Maria,Gallegos,England,Liverpool,2/6/1968
349,Avis,Kemp,England,Liverpool,9/9/1967
350,Bruce,Riggs,England,Liverpool,8/8/2002
351,Caleb,Golden,Portugal,Lisbon,11/16/1959
352,Shaun,Harvey,Belgium,Brussels,4/4/1975
353,Freda,McMillan,England,London,7/15/1950
354,Ollie,Farmer,England,Liverpool,4/25/1955
355,Deanne,Cannon,England,Birmingham,5/9/1986
356,Rudy,McDonald,England,Liverpool,8/2/1946
357,Lauren,Bowers,England,London,10/10/1958
358,Haley,Mendoza,England,London,6/10/1944
359,Wilfredo,Caldwell,Portugal,Lisbon,2/15/1982
360,Lane,Maynard,Portugal,Lisbon,2/15/1976
361,Nell,Schmidt,England,London,9/23/1973
362,Donald,Greer,Portugal,Porto,1/14/1947
363,Luigi,Rice,Portugal,Lisbon,7/25/1947
364,Deirdre,Livingston,Portugal,Porto,7/17/1963
365,Justine,Johnston,Portugal,Porto,1/26/1958
366,Isidro,Mullins,Belgium,Antwerp,8/26/1964
367,Adriana,Golden,Ireland,Limerick,2/27/1959
368,Lupe,Lott,England,London,6/22/1943
369,Danilo,Evans,Ireland,Tralee,10/11/1967
370,Peggy,House,England,London,5/24/1988
371,Marsha,Anthony,England,Birmingham,10/25/1953
372,Micheal,Rodriguez,Portugal,Lisbon,9/7/1959
373,Clement,Key,England,Birmingham,1/22/1981
374,Emmanuel,Brock,England,Liverpool,3/8/1973
375,Wm,Shaffer,Ireland,Tralee,2/23/1978
376,Kenneth,Sanders,Ireland,Tralee,7/13/1953
377,Alba,Witt,Ireland,Limerick,2/9/1955
378,Nathanael,Ball,England,Liverpool,2/16/1942
379,Selma,Logan,France,Paris,3/1/1942
380,Leif,United Kingdom,France,Paris,10/23/1974
381,Myrna,Jones,England,Birmingham,8/11/1976
382,Helene,Beasley,England,Liverpool,10/13/1997
383,Jordan,Franco,Ireland,Tralee,10/17/1997
384,Waylon,Ross,Portugal,Porto,11/26/1960
385,Adele,Ferrell,Portugal,Porto,2/19/1999
386,Carol,Rosa,Portugal,Lisbon,3/17/2001
387,Giuseppe,Cook,England,Manchester,2/11/1990
388,Lyle,Barton,Portugal,Lisbon,8/26/1965
389,Flossie,Molina,Portugal,Lisbon,3/8/1946
390,Rory,George,Ireland,Tralee,9/6/1984
391,Adele,Poole,Portugal,Lisbon,6/14/1999
392,Pete,Mosley,Ireland,Tralee,9/1/1945
393,Cherie,Bradford,England,Liverpool,5/1/1949
394,Jarod,Munoz,Portugal,Porto,6/13/1965
395,Alison,Daugherty,England,Liverpool,8/23/1984
396,Sherman,Gilmore,England,London,10/17/1998
397,Helena,Thomas,Portugal,Braga,7/18/1944
398,Emile,Travis,England,London,2/20/1993
399,Kory,White,England,London,5/16/1963
400,Wilma,Ramos,England,Liverpool,10/21/1973
401,Kermit,Vega,England,Liverpool,6/8/1970
402,Jasper,Griffith,England,London,6/27/1971
403,Hershel,Castillo,England,Liverpool,2/24/1961
404,Royce,Richmond,Portugal,Porto,10/7/1962
405,Luke,Byrd,Portugal,Porto,6/26/1985
406,Wes,Kerr,Portugal,Lisbon,7/1/1961
407,Eugenio,Valentine,Portugal,Lisbon,9/16/1975
408,Susana,Noel,Belgium,Brussels,4/26/1995
409,Wilton,Best,Portugal,Lisbon,9/22/1982
410,Rodrick,Lowe,Portugal,Braga,7/24/1954
411,Jonathan,Doyle,Portugal,Lisbon,6/8/1951
412,Nelson,Barker,Portugal,Lisbon,5/6/1995
413,Eliza,Maynard,Portugal,Lisbon,5/27/1983
414,Genevieve,Callahan,Ireland,Tralee,6/21/1981
415,Edna,Fletcher,Belgium,Antwerp,1/22/1944
416,Elba,Wiggins,England,Liverpool,2/27/1952
417,Enoch,Cannon,England,London,9/24/1979
418,Lyle,Sosa,England,Manchester,4/24/2001
419,Cheryl,Burnett,Portugal,Porto,8/10/1966
420,Jon,Cote,Ireland,Tralee,3/12/1967
421,Paul,McDonald,Portugal,Lisbon,11/1/1988
422,Shelby,Blevins,Portugal,Porto,10/3/2000
423,Marlon,Matthews,Ireland,Limerick,1/15/1970
424,Elisabeth,Clements,Portugal,Braga,2/15/1980
425,Taylor,Bridges,Portugal,Lisbon,11/8/1999
426,Jarrod,Hamilton,Portugal,Lisbon,8/23/1992
427,Caitlin,Farley,Portugal,Braga,5/21/1962
428,Rosie,Calhoun,Ireland,Limerick,6/27/1991
429,Lynwood,Richardson,Belgium,Brussels,9/10/2001
430,Jamie,Gibson,Belgium,Antwerp,7/19/1960
431,Garrett,Mitchell,Belgium,Antwerp,11/19/1957
432,Juan,Bishop,Belgium,Antwerp,2/26/1956
433,Fletcher,Sims,Ireland,Tralee,1/14/1964
434,Bret,Burris,Belgium,Brussels,10/17/1978
435,Korey,Cruz,England,London,7/2/1989
436,Jarvis,Greer,Portugal,Porto,9/26/1956
437,Philip,Le,Portugal,Lisbon,3/17/1990
438,Wyatt,Ballard,Portugal,Porto,11/13/1971
439,Lawanda,Morrison,Portugal,Lisbon,10/3/1947
440,Bob,Stone,Ireland,Tralee,1/18/1999
441,Stanley,Graham,Portugal,Porto,5/15/1971
442,Estella,Perkins,England,Liverpool,5/1/1944
443,Matthew,Hanson,England,Liverpool,8/11/1986
444,Sonja,Ortega,Portugal,Lisbon,9/20/1995
445,Lou,Gibson,England,Liverpool,5/18/1970
446,Katy,Hanson,England,Liverpool,11/26/1999
447,Frank,Malone,England,Liverpool,2/24/1999
448,Connie,Nelson,England,Manchester,3/13/1951
449,Joey,Hale,Portugal,Lisbon,11/8/1966
450,Napoleon,Jimenez,Belgium,Antwerp,1/16/1979
451,Eddie,Figueroa,Portugal,Lisbon,8/7/1961
452,Concepcion,Diaz,England,Liverpool,11/3/1966
453,Colleen,Roman,Portugal,Porto,4/16/1958
454,Janell,Ayers,England,Liverpool,3/3/1988
455,Marcos,Tyson,Portugal,Porto,11/19/1986
456,Corrine,Rivers,England,London,2/21/1976
457,Rey,Carter,Portugal,Lisbon,9/10/1966
458,Desiree,McCarty,Belgium,Brussels,10/16/1979
459,Robbie,Bowman,Portugal,Porto,8/19/1948
460,Hubert,Duke,France,Paris,10/17/1966
461,Deena,Leonard,Ireland,Tralee,3/3/1972
462,Jarvis,Mayo,Portugal,Lisbon,3/3/1958
463,Curtis,Hopkins,Belgium,Antwerp,1/25/1991
464,Gary,Cochran,England,Manchester,11/12/1978
465,Mamie,Brewer,Belgium,Brussels,11/9/1980
466,Rosella,Ewing,Ireland,Limerick,11/4/1986
467,Randall,Bernard,Portugal,Lisbon,7/9/1953
468,Harold,Forbes,France,Paris,11/22/1956
469,Joey,Grant,Portugal,Braga,1/20/1953
470,Ariel,Buchanan,Portugal,Porto,2/4/1975
471,Odessa,Montoya,England,London,1/25/1945
472,Grover,Hansen,England,London,8/7/1945
473,Katy,Cline,Portugal,Lisbon,10/16/1985
474,Noemi,Jarvis,Belgium,Brussels,7/5/1981
475,Boyce,Pickett,England,Birmingham,10/15/1994
476,Lina,McCarthy,England,Birmingham,7/5/1953
477,Antoinette,Rosa,England,Liverpool,1/21/1982
478,Allyson,Humphrey,England,Liverpool,3/17/1956
479,Tad,Flowers,Belgium,Brussels,6/24/1969
480,Felicia,Estrada,England,London,5/26/1994
481,Aline,Buckley,Ireland,Limerick,3/14/1991
482,Christoper,Finch,Portugal,Porto,9/12/1988
483,Nell,Hickman,Ireland,Limerick,9/20/1983
484,Barney,Bentley,France,Paris,3/24/1980
485,Rena,Sears,Portugal,Lisbon,1/12/1947
486,Kristie,Lamb,Belgium,Brussels,5/10/1972
487,Hank,Mendoza,Portugal,Lisbon,2/19/1976
488,Marcella,Dillon,Portugal,Lisbon,9/3/1953
489,Jordon,Cooke,Belgium,Brussels,1/2/1981
490,Coleen,Fischer,Portugal,Lisbon,4/6/1969
491,Cassie,Sandoval,England,London,9/8/1999
492,Cindy,Vinson,Belgium,Antwerp,6/7/1986
493,Leslie,Morse,England,London,2/8/1987
494,Inez,Day,Portugal,Lisbon,6/6/1956
495,Katharine,Horne,England,London,2/6/1985
496,Elmer,Wagner,Belgium,Brussels,2/11/1992
497,Jerry,Hall,Portugal,Porto,10/25/1981
498,Christina,Johnson,Ireland,Tralee,6/27/1967
499,Cherie,Pena,France,Paris,11/27/1990
500,Millicent,Dixon,Belgium,Brussels,9/1/1963
501,Anita,Guerrero,Portugal,Porto,6/13/1983
502,David,Walker,England,Birmingham,3/2/1967
503,Daron,Whitfield,Portugal,Porto,5/24/1984
504,Charlotte,Bell,England,Birmingham,6/27/1994
505,Elbert,Dodson,Portugal,Porto,10/17/1968
506,Lucia,Meyers,Ireland,Limerick,10/1/1948
507,Helga,Myers,England,London,10/2/1949
508,Heath,Howell,Belgium,Brussels,8/26/1976
509,Bobbie,Merritt,Portugal,Lisbon,10/8/1956
510,Patricia,Pearson,Portugal,Lisbon,8/5/1997
511,Thomas,Lloyd,Portugal,Lisbon,1/2/1951
512,Tammi,Powell,France,Paris,6/14/1983
